25784	1840360
26284	1836398
26784	1832436
27284	1828474
27784	1824513
28284	1820553
28784	1816594
29284	1812635
29784	1808677
30284	1804719
30784	1800763
31284	1796807
31784	1792853
32284	1788900
32784	1784946
33284	1780994
33784	1777043
34284	1773092
34784	1769142
35284	1765193
35784	1761245
36284	1757300
36784	1753357
37284	1749411
37784	1745467
38284	1741524
38784	1737580
39284	1733637
39784	1729695
40284	1725753
40784	1721812
41284	1717872
41784	1713933
42284	1709994
42784	1706056
43284	1702119
43784	1698184
44284	1694249
44784	1690314
45284	1686381
45784	1682449
46284	1678518
46784	1674586
47284	1670655
47784	1666725
48284	1662796
48784	1658867
49284	1654939
49784	1651013
50284	1647087
50784	1643161
51284	1639236
51784	1635313
52284	1631390
52784	1627467
53284	1623545
53784	1619624
54284	1615705
54784	1611785
55284	1607866
55784	1603948
56284	1600031
56784	1596115
57284	1592199
57784	1588286
58284	1584373
58784	1580461
59284	1576549
59784	1572637
60284	1568725
60784	1564815
61284	1560905
61784	1556997
62284	1553089
62784	1549181
63284	1545275
63784	1541368
64284	1537463
64784	1533558
65284	1529656
65784	1525753
66284	1521850
66784	1517949
67284	1514048
67784	1510148
68284	1506249
68784	1502351
69284	1498454
69784	1494556
70284	1490660
70784	1486768
71284	1482874
71784	1478981
72284	1475090
72784	1471199
73284	1467308
73784	1463416
74284	1459527
74784	1455637
75284	1451749
75784	1447861
76284	1443973
76784	1440086
77284	1436201
77784	1432315
78284	1428431
78784	1424547
79284	1420664
79784	1416784
80284	1412903
80784	1409023
81284	1405143
81784	1401266
82284	1397389
82784	1393511
83284	1389635
83784	1385758
84284	1381883
84784	1378009
85284	1374135
85784	1370262
86284	1366390
86784	1362519
87284	1358648
87784	1354778
88284	1350909
88784	1347040
89284	1343173
89784	1339307
90284	1335441
90784	1331575
91284	1327711
91784	1323847
92284	1319983
92784	1316121
93284	1312259
93784	1308398
94284	1304538
94784	1300679
95284	1296820
95784	1292962
96284	1289107
96784	1285253
97284	1281397
97784	1277543
98284	1273689
98784	1269836
99284	1265983
99784	1262131
100284	1258280
100784	1254429
101284	1250579
101784	1246730
102284	1242881
102784	1239034
103284	1235187
103784	1231341
104284	1227496
104784	1223651
105284	1219807
105784	1215965
106284	1212122
106784	1208281
107284	1204440
107784	1200599
108284	1196760
108784	1192920
109284	1189082
109784	1185244
110284	1181407
110784	1177571
111284	1173736
111784	1169901
112284	1166067
112784	1162234
113284	1158401
113784	1154569
114284	1150738
114784	1146907
115284	1143077
115784	1139248
116284	1135420
116784	1131593
